time;section_name;reef_section;transect_id;point_id
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL6;Sediment
Miocene;Ciolo;reef front;CGL7;Sediment
Miocene;Ciolo;reef front;CGL7;Sediment
Miocene;Ciolo;reef front;CGL7;Sediment
Miocene;Ciolo;reef front;CGL7;Sediment
Miocene;Ciolo;reef front;CGL7;Sediment
Miocene;Ciolo;reef front;CGL7;Sediment
Miocene;Ciolo;reef front;CGL7;Sediment
